,Unnamed: 0,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th,second_price
57,57,soft floor,1891.0,121.37387625594923,367.1666408501329,0.0,0.0,0.0,0.0,4247.0,1891.0,0.015403158813716462,0.04232756863735127,0.0,0.0,0.0,0.0,0.34686377000980073,3.4012125476986235,12.685170351082585,5.017716084606671e-05,1.084675826385504e-05,0
58,58,soft floor,1936.0,125.10640495867769,378.1514196266761,0.0,0.0,0.0,0.0,3847.0,1936.0,0.016069884586140958,0.04319338827941434,0.0,0.0,0.0,0.0,0.3353619474695708,3.1983304529040204,10.776146433127932,4.7793913247922355e-05,9.803099180115283e-06,0
59,59,soft floor,1876.0,109.56769722814501,331.6482171638778,0.0,0.0,0.0,0.0,3257.0,1876.0,0.014420178895900084,0.0397160343509778,0.0,0.0,0.0,0.0,0.30791703184341224,3.2369302922593497,10.963702352245846,3.462519573145181e-05,6.522196521635151e-06,0
60,60,soft floor,1942.0,121.69309989701338,363.4160957837125,0.0,0.0,0.0,0.0,3788.0,1942.0,0.015523765698044228,0.041757146470167664,0.0,0.0,0.0,0.0,0.2865572282320902,3.197292070102439,10.559529311278348,4.109134456252746e-05,7.838171674507928e-06,0
61,61,soft floor,1958.0,110.7655771195097,337.7913635873505,0.0,0.0,0.0,0.0,3127.0,1958.0,0.014439419243583829,0.040046494703620726,0.0,0.0,0.0,0.0,0.28313253012048195,3.37605906277046,12.303770956442195,3.92313958311411e-05,7.786267504636685e-06,0
62,62,soft floor,1941.0,119.15868109222049,360.18310716026593,0.0,0.0,0.0,0.0,3409.0,1941.0,0.015162874588327685,0.04169969587455609,0.0,0.0,0.0,0.0,0.33303038171903404,3.4204768309788536,12.92333826795113,4.798719335925266e-05,1.033177572237488e-05,0
63,63,mixed strategy,1879.0,326.81000532197976,598.1753179078511,0.0,0.0,85.0,384.5,4782.0,1879.0,0.0504759892117368,0.08568220508668438,0.0,0.0,0.019901662374151245,0.060037255166730724,0.8431155407899594,2.898416717650006,11.398291511843484,0.0007733916751349294,0.0003871107803453069,0
64,64,mixed strategy,1951.0,325.66324961558183,567.3439384445214,0.0,0.0,112.0,403.0,4761.0,1951.0,0.050539312430078136,0.0822597497957171,0.0,0.0,0.019981120201384518,0.06011449246924371,0.7261243052046488,2.8945974299840134,11.386194182745653,0.0006565623590053277,0.0003002207564913661,0
65,65,mixed strategy,1989.0,327.39366515837105,609.8639641004644,0.0,0.0,71.0,384.0,5370.0,1989.0,0.05058988418082029,0.08693993042995696,0.0,0.0,0.017699115044247787,0.06003218220076743,0.7174623937213865,2.8494024143533383,10.282976887566276,0.0007564697844773573,0.00034572570347141205,0
66,66,mixed strategy,1994.0,318.84202607823465,575.8472077229785,0.0,0.0,100.0,393.5,5015.0,1994.0,0.049830003626808714,0.08319872487739842,0.0,0.0,0.01997240177868097,0.06008830388014021,0.7104118700434894,3.0495158761107035,12.466669372458643,0.0007386948967321414,0.0003453483000452826,0
67,67,mixed strategy,1950.0,323.07743589743586,580.4571177309023,0.0,0.0,83.0,397.0,4491.0,1950.0,0.04944420656470843,0.08052077948454424,0.0,0.0,0.019917121068436856,0.060118455188135314,0.5887778631821675,2.488473019375298,7.008640543374832,0.00041941870209906206,0.0001431967645700067,0
68,68,mixed strategy,1917.0,320.65884194053206,566.1048414239444,0.0,0.0,109.0,395.0,4510.0,1917.0,0.0501707089028272,0.08205749329892352,0.0,0.0,0.02,0.06016980435585088,0.6369676834793114,2.6776710497874414,8.738663739464926,0.0005304921919271758,0.0002062793787610676,0
69,69,mixed strategy,1988.0,320.5216297786721,583.7121182357785,0.0,0.0,94.0,384.25,5815.0,1988.0,0.04998058184670292,0.08221257889385253,0.0,0.0,0.01994554168904318,0.0600521689531642,0.5958249158249158,2.725538967128895,9.26054920354133,0.0005583335066623796,0.00022259013006524237,0
70,70,mixed strategy,1932.0,338.41718426501035,632.3654808511322,0.0,0.0,107.5,385.0,5722.0,1932.0,0.05115493216723432,0.08638515785626165,0.0,0.0,0.01998109257582172,0.060044025908756266,0.602406103286385,2.791031621323766,9.122738462029684,0.00067289935905327,0.00026919700305268017,0
71,71,mixed strategy,2027.0,351.3793783917119,612.4457407955165,0.0,0.0,123.0,422.0,6563.0,2027.0,0.05364231168467898,0.08532625781875071,0.0,0.0,0.0200433369447454,0.06987425685273846,0.6812632696390658,2.5950737185775337,8.272225120699094,0.0005956776319355948,0.00023929087030024408,0
0,0,second price,1923.0,933.780031201248,908.4081707923655,1.0,287.0,675.0,1254.0,6655.0,1923.0,0.14234947329243974,0.11536050897324487,0.00015683814303638644,0.053391315884543315,0.11478843736908255,0.20151941588046907,0.6730952380952381,1.2178466689035956,1.5206547037796867,0.0007985433523423805,0.0002574815157035189,1
1,1,second price,2015.0,965.3826302729527,935.9993750984753,1.0,310.0,687.0,1330.0,6545.0,2015.0,0.1494899501477278,0.12391262297306,0.00023501762632197412,0.057488366979011864,0.11862423958820775,0.2110818202526731,0.7088108441158348,1.3690173093308535,2.192217501620882,0.0012208989416676091,0.0004598529647526006,1
2,2,second price,1951.0,958.4233726294208,931.5586790205792,1.0,296.0,680.0,1342.0,8593.0,1951.0,0.14719058473837884,0.12118407641179015,0.0001007252215954875,0.055513879762848,0.11634377576257215,0.2123446616666314,0.8545997016409747,1.3543524235668811,2.3053760786990325,0.001141083840408018,0.00045606622703567453,1
3,3,second price,1903.0,981.3473462953232,923.9317967179077,1.0,307.5,720.0,1380.0,8068.0,1903.0,0.15039578015361724,0.12084911618861224,0.0002608582235554976,0.057402263622508776,0.12472098214285715,0.21487191646011208,0.9491764705882352,1.3439847567487488,2.841745571373933,0.001242425434604415,0.0005747256937281883,1
4,4,second price,1954.0,944.2599795291707,918.5243474850772,1.0,293.5,667.5,1309.75,7455.0,1954.0,0.14432135389012712,0.1190443356822054,0.0001339405304045004,0.05382490405701755,0.11945679810488928,0.205418418995563,1.0224934851186394,1.5688118348389393,4.395400912875759,0.0014808496681939654,0.0007969655603325051,1
5,5,second price,1924.0,980.2266112266112,944.0650761559938,1.0,307.0,699.5,1381.0,6262.0,1924.0,0.15063752588328852,0.12522564069240286,0.00024551927326295114,0.055132587132083286,0.12158796125916685,0.21472895520191426,0.8069527764959237,1.4027159338940285,2.571112200700359,0.0013661527165269227,0.0005693491427929407,1
6,6,second price,1963.0,948.7457972491085,897.4715923066112,1.0,307.0,690.0,1300.0,6344.0,1963.0,0.14636633123024395,0.11679369457557602,0.00010013016921998597,0.055679972447367436,0.11890072910824455,0.2081581102655017,0.6835599505562423,1.2219865365839495,1.5454098224213837,0.0008436062765943193,0.0002779021494750459,1
